Location,Country,Disease,Species,HealthMap Alert ID,Headline,URL,Issue Date,Alert Tag,Suspected Cases,Suspected Deaths,Confirmed Cases,Confirmed Deaths,Rule Outs,Long,Lat
Sierra Leone,Sierra Leone,Ebola,Humans,2938263,"PRO/AH/EDR> Ebola virus disease - West Africa (204): Sierra Leone, region, models unreliable",http://promedmail.org/direct.php?id=20141107.2938263,11/7/14 23:10,No Tag,,,,,,-11.79192,8.56028
Guinea,Guinea,Ebola,Humans,2933238,"PRO/SOAS> Ebola virus disease - West Africa (24): WHO PPE guidelines, Senegal SMS campaign",http://promedmail.org/direct.php?id=20141107.2933238,11/7/14 11:23,No Tag,,,,,,-10.94177,10.43821
Guinea,Guinea,Ebola,Humans,2932865,"PRO/AH/EDR> Ebola virus disease - West Africa (203): WHO, WiFi, vaccine, survivors",http://promedmail.org/direct.php?id=20141105.2932865,11/5/14 22:39,No Tag,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,2932865,"PRO/AH/EDR> Ebola virus disease - West Africa (203): WHO, WiFi, vaccine, survivors",http://promedmail.org/direct.php?id=20141105.2932865,11/5/14 22:39,No Tag,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,2932865,"PRO/AH/EDR> Ebola virus disease - West Africa (203): WHO, WiFi, vaccine, survivors",http://promedmail.org/direct.php?id=20141105.2932865,11/5/14 22:39,No Tag,,,,,,-9.30791,6.44809
Sierra Leone,Sierra Leone,Ebola,Humans,2923959,"PRO/AH/EDR> Ebola virus disease - West Africa (202): Sierra Leone, Norway-UK aid, age & CFR",http://promedmail.org/direct.php?id=20141102.2923959,11/2/14 19:44,No Tag,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,2922141,"PRO/AH/EDR> Ebola virus disease - West Africa (201): WHO updates, Liberia new hospital",http://promedmail.org/direct.php?id=20141101.2922141,11/1/14 20:59,No Tag,,,,,,-9.30791,6.44809
Liberia,Liberia,Ebola,Humans,2920082,"PRO/AH/EDR> Ebola virus disease - West Africa (200): Mali, Liberia, cremation, case numbers ",http://promedmail.org/direct.php?id=20141031.2920082,10/31/14 20:21,No Tag,,,,,,-9.30791,6.44809
Guinea,Guinea,Ebola,Humans,2919511,PRO/EAFR> Ebola virus disease - West Africa (43): WHO update,http://promedmail.org/direct.php?id=20141031.445518,10/31/14 13:09,Breaking,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,2919511,PRO/EAFR> Ebola virus disease - West Africa (43): WHO update,http://promedmail.org/direct.php?id=20141031.445518,10/31/14 13:09,Breaking,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,2919511,PRO/EAFR> Ebola virus disease - West Africa (43): WHO update,http://promedmail.org/direct.php?id=20141031.445518,10/31/14 13:09,Breaking,,,,,,-9.30791,6.44809
