Location,Country,Disease,Species,HealthMap Alert ID,Headline,URL,Issue Date,Alert Tag,Suspected Cases,Suspected Deaths,Confirmed Cases,Confirmed Deaths,Rule Outs,Long,Lat
Liberia,Liberia,Ebola,Humans,2764881,"PRO/AH/EDR> Ebola virus disease - West Africa (159): WHO, travel, contacts, serum, rates",http://promedmail.org/direct.php?id=20140910.2764881,9/10/14 21:59,No Tag,,,,,,-9.30791,6.44809
Guinea,Guinea,Ebola,Humans,2762699,"PRO/SOAS> Ebola virus disease - West Africa (17): WHO, outbreak tracker, mapping",http://promedmail.org/direct.php?id=20140911.2762699,9/11/14 12:39,No Tag,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,2762699,"PRO/SOAS> Ebola virus disease - West Africa (17): WHO, outbreak tracker, mapping",http://promedmail.org/direct.php?id=20140911.2762699,9/11/14 12:39,No Tag,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,2762699,"PRO/SOAS> Ebola virus disease - West Africa (17): WHO, outbreak tracker, mapping",http://promedmail.org/direct.php?id=20140911.2762699,9/11/14 12:39,No Tag,,,,,,-9.30791,6.44809
Guinea,Guinea,Ebola,Humans,2761822,"PRO/AH/EDR> Ebola virus disease - West Africa (157): WHO update, PPE, Nigeria, bushmeat",http://promedmail.org/direct.php?id=20140909.2761822,9/9/14 21:21,No Tag,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,2761822,"PRO/AH/EDR> Ebola virus disease - West Africa (157): WHO update, PPE, Nigeria, bushmeat",http://promedmail.org/direct.php?id=20140909.2761822,9/9/14 21:21,No Tag,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,2761822,"PRO/AH/EDR> Ebola virus disease - West Africa (157): WHO update, PPE, Nigeria, bushmeat",http://promedmail.org/direct.php?id=20140909.2761822,9/9/14 21:21,No Tag,,,,,,-9.30791,6.44809
Guinea,Guinea,Ebola,Humans,2761715,PRO/AH/EDR> Ebola virus disease - West Africa (158): urgent call for volunteers,http://promedmail.org/direct.php?id=20140910.2761715,9/10/14 16:21,No Tag,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,2761715,PRO/AH/EDR> Ebola virus disease - West Africa (158): urgent call for volunteers,http://promedmail.org/direct.php?id=20140910.2761715,9/10/14 16:21,No Tag,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,2761715,PRO/AH/EDR> Ebola virus disease - West Africa (158): urgent call for volunteers,http://promedmail.org/direct.php?id=20140910.2761715,9/10/14 16:21,No Tag,,,,,,-9.30791,6.44809
