Date,Country,y,ymin,ymax
2014-09-04,Guinea,130,101.975,162
2014-09-11,Guinea,186,140,236.025
2014-09-18,Guinea,256,186.975,341.025
2014-09-04,Liberia,511,452,563
2014-09-11,Liberia,643,568.975,727.025
2014-09-18,Liberia,830,711,971.025
2014-09-04,Sierra Leone,179,148,208.025
2014-09-11,Sierra Leone,204,165.975,245
2014-09-18,Sierra Leone,225.5,180,278
