Date,Country,y,ymin,ymax
2015-03-05,Guinea,53,38,69.025
2015-03-12,Guinea,52,34,71
2015-03-19,Guinea,50,32,71
2015-03-05,Liberia,119,96,145
2015-03-12,Liberia,107,83,135
2015-03-19,Liberia,103,76,131.025
2015-03-05,Sierra Leone,145,120,173
2015-03-12,Sierra Leone,134,107,161.025
2015-03-19,Sierra Leone,121,96,151
