Date,Country,y,ymin,ymax
2014-06-19,Guinea,48,32,66
2014-06-26,Guinea,56,37,82
2014-07-03,Guinea,63,39,98.025
2014-06-19,Liberia,1,0,3
2014-06-26,Liberia,0,0,3
2014-07-03,Liberia,0,0,3
2014-06-19,Sierra Leone,47,31,68
2014-06-26,Sierra Leone,70,41,111.025
2014-07-03,Sierra Leone,103,51,184
