Date,Country,y,ymin,ymax
2015-02-12,Guinea,46,31.975,62
2015-02-19,Guinea,42.5,28,59
2015-02-26,Guinea,37,23,53.025
2015-02-12,Liberia,159,131,191
2015-02-19,Liberia,165,132,201
2015-02-26,Liberia,174,136,217.025
2015-02-12,Sierra Leone,143,116.975,169.025
2015-02-19,Sierra Leone,124,100,150
2015-02-26,Sierra Leone,106,83,131
