Date,Country,y,ymin,ymax
2015-04-30,Guinea,13,6,23
2015-05-07,Guinea,10,4,18
2015-05-14,Guinea,9,3,17
2015-04-30,Liberia,196,165,230
2015-05-07,Liberia,217,181,258
2015-05-14,Liberia,237,194,289.025
2015-04-30,Sierra Leone,70,52,89
2015-05-07,Sierra Leone,62,44,82
2015-05-14,Sierra Leone,55,37.975,75
