Date,Country,y,ymin,ymax
2015-01-01,Guinea,133,109,161
2015-01-08,Guinea,130,101,160
2015-01-15,Guinea,130,100,167.025
2015-01-01,Liberia,57,42,73
2015-01-08,Liberia,49,33,64
2015-01-15,Liberia,37,25,52
2015-01-01,Sierra Leone,562,508.975,618
2015-01-08,Sierra Leone,543,486.975,604
2015-01-15,Sierra Leone,557,493,624.025
