Date,Country,y,ymin,ymax
2015-02-19,Guinea,44,31.975,61
2015-02-26,Guinea,38,26,53
2015-03-05,Guinea,32,19,48
2015-02-19,Liberia,144,116.975,174.025
2015-02-26,Liberia,141,113,174
2015-03-05,Liberia,145,112,181.025
2015-02-19,Sierra Leone,129,107,155.025
2015-02-26,Sierra Leone,110,88,135
2015-03-05,Sierra Leone,94,73,117
